1	1	1	1	1	0	1	0	1	1900	23	50	1	4	1	0	0	0	1
1	0	1	1	1	0	0	0	0	2000	172	49	1	4	1	0	0	0	2
1	0	1	1	1	0	0	0	0	2000	61	50	0	0	0	0	2	0	2
1	0	1	0	1	0	0	0	0	2000	169	50	1	0	1	0	0	0	1
1	0	1	0	1	0	0	0	0	2000	1	50	1	3	2	4	0	0	1
1	0	1	1	1	0	0	0	0	2000	125	48	1	0	1	0	1	0	1
1	1	1	0	1	0	0	0	0	2000	6	50	0	3	0	0	0	0	4
1	1	1	0	1	0	0	0	0	2000	1	50	0	4	1	0	0	0	1
0	0	0	0	1	0	0	0	0	2000	21	44	0	1	0	0	1	1	0
1	1	1	1	1	0	0	0	0	2000	83	50	1	2	0	0	2	2	1
0	0	0	0	1	0	0	0	0	2000	2	50	0	0	0	0	1	0	3
0	0	0	0	0	0	0	0	1	2000	4	50	1	0	1	0	0	0	1
1	1	1	1	1	0	0	0	0	2000	37	49	1	2	0	0	1	0	1
0	0	0	0	1	0	0	0	1	2000	27	46	1	0	1	0	0	0	1
1	1	1	1	1	0	0	0	0	2000	0	0	0	2	1	0	2	2	0
1	0	1	0	1	0	0	0	0	2000	2	50	0	4	1	0	0	0	1
1	0	0	1	1	0	0	0	0	2000	9	50	1	4	1	0	0	0	1
1	0	1	0	1	0	0	0	0	2000	2	50	0	4	1	0	0	0	1
1	0	1	1	1	0	1	0	1	2000	4	50	0	4	2	0	0	0	1
1	0	1	1	0	0	1	1	0	2000	12	50	1	4	1	0	0	0	1
1	1	1	0	1	0	0	0	0	2011	94	49	1	0	0	0	0	0	1
1	0	1	0	1	0	0	0	0	2021	117	47	1	4	0	0	0	0	1
1	0	1	0	1	0	0	0	0	2051	58	46	0	2	0	0	0	1	1
1	0	1	0	1	0	0	0	0	2071	20	48	0	2	0	1	0	2	2
0	0	0	0	1	0	0	0	0	2080	8	50	0	3	0	3	0	1	1
1	0	1	1	1	0	0	0	0	2080	28	48	1	4	0	0	0	0	2
0	1	0	0	1	0	0	0	0	2080	13	47	0	3	0	0	0	0	1
1	0	1	0	1	0	0	0	0	2080	1	50	0	5	0	2	0	0	1
