3210	93	10	4.5 	1	3
3010	0	1	5.0 	0	3
3727	27	5	3.8 	0	3
2930	10750	2991	4.9 	1	245
2311	11111	3184	4.8 	1	245
2611	2174	826	5.0 	1	245
2260	1258	468	5.0 	1	245
2160	1313	371	5.0 	1	245
4376	274	88	4.9 	1	245
3416	858	260	4.8 	1	245
2089	169	78	5.0 	0	245
2480	1031	101	4.9 	1	245
3524	242	60	4.9 	1	245
2680	434	108	4.8 	1	245
2000	271	61	5.0 	0	245
4790	103	17	4.7 	1	245
2161	739	236	5.0 	1	245
2230	1381	388	5.0 	1	245
3736	150	38	4.9 	1	245
9478	352	29	4.8 	1	245
2381	1536	420	4.8 	1	245
2300	1337	292	4.9 	1	245
2940	0	1	5.0 	0	245
3074	159	29	4.6 	0	245
4306	93	24	4.8 	1	245
2980	46	8	5.0 	1	245
3440	0	5	5.0 	0	245
2280	285	25	4.9 	1	245
2881	432	96	5.0 	1	245
3600	50	10	5.0 	0	245
4468	70	11	4.9 	1	245
4266	26	4	5.0 	0	245
3581	242	32	4.9 	0	245
2381	386	99	5.0 	1	245
3380	168	7	5.0 	0	245
4876	0	1	5.0 	0	245
2885	28	6	5.0 	0	245
2780	975	206	5.0 	1	245
3780	461	85	4.9 	1	245
2360	100	43	5.0 	0	245
2151	0	1	5.0 	0	245
5169	0	1	5.0 	0	245
3180	257	20	5.0 	1	245
3225	215	21	4.9 	1	245
3380	160	34	5.0 	1	245
5074	11	1	5.0 	0	245
5026	10	2	5.0 	0	245
5057	64	15	4.7 	0	245
2401	194	22	4.8 	0	245
3629	1108	193	4.4 	0	245
4000	0	1	5.0 	0	245
2506	67	19	4.7 	0	245
2492	83	16	5.0 	0	245
4540	0	1	5.0 	0	245
3500	131	7	5.0 	0	245
2500	0	2	5.0 	0	245
2220	349	33	4.9 	1	245
5021	52	14	4.8 	1	245
3116	22	3	5.0 	0	245
3200	166	11	4.9 	1	245
3499	1317	260	4.9 	1	245
3400	207	24	4.9 	1	245
10681	0	1	5.0 	0	245
2000	782	125	4.8 	1	245
4714	10	4	4.8 	1	245
5067	86	8	4.5 	0	245
3090	716	134	4.6 	0	245
5981	103	18	4.6 	1	245
4017	16	3	4.3 	0	245
2567	148	28	4.6 	1	245
2580	14	2	5.0 	1	245
5688	130	27	4.6 	0	245
6366	71	12	4.4 	0	245
6277	89	11	4.2 	0	245
5968	92	14	4.4 	1	245
3185	606	75	4.5 	0	245
3816	287	65	4.5 	1	245
2190	312	30	4.6 	1	245
8571	16	4	4.5 	0	245
3768	279	12	4.6 	1	245
3380	191	24	4.5 	0	245
6634	97	17	4.5 	0	245
2931	8619	1492	4.3 	1	245
2280	16	4	5.0 	0	245
4330	29	6	4.3 	0	245
3980	17	3	5.0 	1	245
3560	258	15	4.5 	1	245
2871	11	2	5.0 	0	245
3722	123	17	4.3 	0	245
3260	12	6	5.0 	0	245
4909	116	16	4.3 	0	245
3500	46	9	4.8 	1	245
6054	130	13	4.2 	1	245
5203	151	21	4.2 	0	245
2780	10	3	4.7 	0	245
4841	124	20	4.2 	0	245
4831	61	10	4.3 	1	245
4540	23	8	4.8 	0	245
4462	641	97	4.2 	1	245
4302	231	35	4.0 	0	245
4100	61	17	4.8 	1	245
4871	11	4	3.0 	0	245
2292	928	150	5.0 	1	245
2681	3986	394	4.2 	1	245
4775	14	3	5.0 	0	245
4185	32	4	4.0 	1	245
2606	70	16	4.9 	0	245
3660	0	1	3.0 	0	245
5697	34	5	4.2 	0	245
3080	0	7	5.0 	1	245
3640	0	0	0	0	245
2770	311	76	5.0 	1	245
3180	269	44	5.0 	1	245
3180	245	48	5.0 	1	245
2829	169	48	5.0 	0	245
2466	71	4	5.0 	1	245
3500	29	3	5.0 	1	245
3380	0	2	5.0 	0	245
3661	0	1	5.0 	0	245
3080	18	1	5.0 	0	245
2700	30	8	5.0 	1	245
2690	0	2	5.0 	0	245
3980	176	12	5.0 	1	245
2780	173	10	5.0 	1	245
3350	20	1	5.0 	0	245
2480	84	2	5.0 	1	245
2480	87	2	5.0 	1	245
2480	101	3	5.0 	1	245
3932	33	7	5.0 	1	245
4340	18	3	5.0 	0	245
3788	0	2	5.0 	0	245
2980	73	19	5.0 	1	245
2980	159	18	5.0 	0	245
2480	172	2	5.0 	1	245
2660	11	4	5.0 	0	245
3340	0	1	5.0 	0	245
2780	0	1	5.0 	0	245
4231	0	1	5.0 	0	245
2899	56	21	5.0 	1	245
3480	166	15	5.0 	1	245
3060	0	1	5.0 	0	245
3400	35	5	5.0 	1	245
2570	214	7	5.0 	1	245
3100	12	2	5.0 	0	245
3380	0	2	5.0 	0	245
2480	88	1	5.0 	1	245
2480	196	4	5.0 	1	245
3180	156	9	5.0 	1	245
4907	25	2	5.0 	1	245
2480	75	1	5.0 	1	245
2480	154	12	5.0 	1	245
3380	187	14	5.0 	0	245
3280	0	4	5.0 	0	245
3126	0	1	5.0 	0	245
4888	0	1	5.0 	0	245
2400	0	2	5.0 	0	245
3180	301	67	4.9 	1	245
2850	107	19	4.9 	1	245
3180	256	15	4.9 	1	245
