3210	93	10	4.5 	1
3010	0	1	5.0 	0
3727	27	5	3.8 	0
2930	10750	2991	4.9 	1
2311	11111	3184	4.8 	1
2611	2174	826	5.0 	1
2260	1258	468	5.0 	1
2160	1313	371	5.0 	1
4376	274	88	4.9 	1
3416	858	260	4.8 	1
2089	169	78	5.0 	0
2480	1031	101	4.9 	1
3524	242	60	4.9 	1
2680	434	108	4.8 	1
2000	271	61	5.0 	0
4790	103	17	4.7 	1
2161	739	236	5.0 	1
2230	1381	388	5.0 	1
3736	150	38	4.9 	1
9478	352	29	4.8 	1
2381	1536	420	4.8 	1
2300	1337	292	4.9 	1
2940	0	1	5.0 	0
3074	159	29	4.6 	0
4306	93	24	4.8 	1
2980	46	8	5.0 	1
3440	0	5	5.0 	0
2280	285	25	4.9 	1
2881	432	96	5.0 	1
3600	50	10	5.0 	0
4468	70	11	4.9 	1
4266	26	4	5.0 	0
3581	242	32	4.9 	0
2381	386	99	5.0 	1
3380	168	7	5.0 	0
4876	0	1	5.0 	0
2885	28	6	5.0 	0
2780	975	206	5.0 	1
3780	461	85	4.9 	1
2360	100	43	5.0 	0
2151	0	1	5.0 	0
5169	0	1	5.0 	0
3180	257	20	5.0 	1
3225	215	21	4.9 	1
3380	160	34	5.0 	1
5074	11	1	5.0 	0
5026	10	2	5.0 	0
5057	64	15	4.7 	0
2401	194	22	4.8 	0
3629	1108	193	4.4 	0
4000	0	1	5.0 	0
2506	67	19	4.7 	0
2492	83	16	5.0 	0
4540	0	1	5.0 	0
3500	131	7	5.0 	0
2500	0	2	5.0 	0
2220	349	33	4.9 	1
5021	52	14	4.8 	1
3116	22	3	5.0 	0
3200	166	11	4.9 	1
3499	1317	260	4.9 	1
3400	207	24	4.9 	1
10681	0	1	5.0 	0
2000	782	125	4.8 	1
4714	10	4	4.8 	1
5067	86	8	4.5 	0
3090	716	134	4.6 	0
5981	103	18	4.6 	1
4017	16	3	4.3 	0
2567	148	28	4.6 	1
2580	14	2	5.0 	1
5688	130	27	4.6 	0
6366	71	12	4.4 	0
6277	89	11	4.2 	0
5968	92	14	4.4 	1
3185	606	75	4.5 	0
3816	287	65	4.5 	1
2190	312	30	4.6 	1
8571	16	4	4.5 	0
3768	279	12	4.6 	1
3380	191	24	4.5 	0
6634	97	17	4.5 	0
2931	8619	1492	4.3 	1
2280	16	4	5.0 	0
4330	29	6	4.3 	0
3980	17	3	5.0 	1
3560	258	15	4.5 	1
2871	11	2	5.0 	0
3722	123	17	4.3 	0
3260	12	6	5.0 	0
4909	116	16	4.3 	0
3500	46	9	4.8 	1
6054	130	13	4.2 	1
5203	151	21	4.2 	0
2780	10	3	4.7 	0
4841	124	20	4.2 	0
4831	61	10	4.3 	1
4540	23	8	4.8 	0
4462	641	97	4.2 	1
4302	231	35	4.0 	0
4100	61	17	4.8 	1
4871	11	4	3.0 	0
2292	928	150	5.0 	1
2681	3986	394	4.2 	1
4775	14	3	5.0 	0
4185	32	4	4.0 	1
2606	70	16	4.9 	0
3660	0	1	3.0 	0
5697	34	5	4.2 	0
3080	0	7	5.0 	1
3640	0	0	0	0
2770	311	76	5.0 	1
3180	269	44	5.0 	1
3180	245	48	5.0 	1
2829	169	48	5.0 	0
2466	71	4	5.0 	1
3500	29	3	5.0 	1
3380	0	2	5.0 	0
3661	0	1	5.0 	0
3080	18	1	5.0 	0
2700	30	8	5.0 	1
2690	0	2	5.0 	0
3980	176	12	5.0 	1
2780	173	10	5.0 	1
3350	20	1	5.0 	0
2480	84	2	5.0 	1
2480	87	2	5.0 	1
2480	101	3	5.0 	1
3932	33	7	5.0 	1
4340	18	3	5.0 	0
3788	0	2	5.0 	0
2980	73	19	5.0 	1
2980	159	18	5.0 	0
2480	172	2	5.0 	1
2660	11	4	5.0 	0
3340	0	1	5.0 	0
2780	0	1	5.0 	0
4231	0	1	5.0 	0
2899	56	21	5.0 	1
3480	166	15	5.0 	1
3060	0	1	5.0 	0
3400	35	5	5.0 	1
2570	214	7	5.0 	1
3100	12	2	5.0 	0
3380	0	2	5.0 	0
2480	88	1	5.0 	1
2480	196	4	5.0 	1
3180	156	9	5.0 	1
4907	25	2	5.0 	1
2480	75	1	5.0 	1
2480	154	12	5.0 	1
3380	187	14	5.0 	0
3280	0	4	5.0 	0
3126	0	1	5.0 	0
4888	0	1	5.0 	0
2400	0	2	5.0 	0
3180	301	67	4.9 	1
2850	107	19	4.9 	1
3180	256	15	4.9 	1
2480	178	23	4.9 	1
3180	305	11	4.8 	1
4071	0	1	5.0 	0
2990	247	56	4.9 	1
2580	196	48	4.9 	1
3640	159	7	4.7 	1
3780	264	39	4.8 	1
4360	470	22	4.8 	1
3911	0	2	5.0 	0
7896	0	1	5.0 	0
3871	13	4	4.8 	0
4398	13	4	4.8 	1
3938	0	4	4.5 	0
4609	138	17	4.6 	1
6259	100	14	4.7 	0
3430	106	4	4.5 	1
4860	29	6	4.7 	1
6808	16	3	4.7 	1
2131	112	7	4.6 	0
3942	20	3	4.7 	0
4299	0	1	5.0 	0
2760	208	31	4.6 	1
3045	502	90	4.6 	0
5580	0	0	0	0
3771	0	1	1.0 	0
5157	136	25	4.5 	1
4864	0	0	0	0
3180	281	8	4.5 	1
4430	0	0	0	1
3800	0	0	0	0
5430	0	0	0	0
2790	13	2	4.5 	0
4507	16	4	4.5 	0
3818	11	2	4.5 	1
5394	71	6	4.3 	0
2970	313	14	4.6 	1
2387	36	7	5.0 	0
3660	0	3	5.0 	0
3000	17	1	5.0 	0
3160	0	3	5.0 	0
3360	19	3	5.0 	0
3760	0	1	5.0 	0
2679	21	3	5.0 	0
2680	65	29	4.9 	1
3800	22	6	4.3 	0
4001	82	15	4.4 	0
4011	0	2	5.0 	0
5388	61	7	4.4 	0
4272	746	111	4.4 	0
6890	70	10	4.1 	0
7580	0	2	5.0 	0
2071	228	20	4.8 	0
3080	98	11	4.8 	1
5751	281	39	4.2 	1
5240	350	45	4.2 	1
3321	70	29	4.9 	0
3580	23	5	4.8 	1
4980	13	4	4.3 	0
6070	69	7	4.1 	0
4590	90	10	4.0 	0
5346	756	96	4.1 	1
5338	165	15	4.2 	1
2390	236	25	4.2 	1
3270	425	22	4.0 	1
4800	148	2	4.0 	1
6452	14	1	4.0 	1
3788	25	1	4.0 	1
4840	0	1	3.0 	0
4200	0	1	4.0 	0
5999	77	8	4.8 	0
2780	140	1	4.0 	1
4296	27	2	4.0 	1
4861	11	1	4.0 	0
5905	0	1	4.0 	1
4730	11	1	4.0 	1
9045	16	2	4.0 	0
3360	37	9	4.4 	0
2811	0	0	0	0
5536	27	6	3.7 	1
